매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
4,소매업,6,경산시 경산로 270,35.8321497,128.7236291,116,2,19,4,0,0,0,정평,1524.0242374358102,0,2,4,7,0,0,0,0
4,소매업,6,경산시 하양로 35,35.9096758,128.8129622,132,1,10,0,0,0,0,영남대,9775.376416588906,0,1,0,0,0,0,1,0
7,제조업,5,경산시 원효로 294,35.81482829999999,128.7670868,184,0,8,3,0,1,0,영남대,2707.457811118776,0,0,1,0,0,0,0,0
5,기타,0,경산시 압독3로2길 26,35.8394862,128.7665139,348,0,13,0,0,1,1,영남대,1272.9346408440194,0,3,0,0,0,0,0,0
6,기타,0,경산시 불굴사길 110,35.9513007,128.7851084,76,0,0,0,0,1,0,영남대,13080.850028424416,0,0,0,0,0,0,0,0
7,제조업,5,경산시 압량길 48,35.8460522,128.7689171,376,0,4,0,0,0,0,영남대,1799.206592240149,0,0,0,0,0,0,0,0
6,제조업,5,경산시 해오름길 140-12,35.8269633,128.7905603,442,0,7,0,0,0,0,영남대,3553.1943819434778,0,0,0,0,0,0,0,0
7,제조업,5,경산시 자인로 203,35.8164155,128.8223379,299,0,7,0,0,0,2,영남대,6647.556389700218,0,1,0,0,0,0,0,0
7,소매업,6,경산시 대경로 713,35.9107982,128.8184802,190,1,14,0,5,0,1,영남대,10161.109738756602,0,1,0,0,0,0,0,1
5,도매업,7,경산시 경산로16길 10-6,35.8158008,128.7322311,146,1,13,3,0,1,4,정평,1022.7011299721496,0,1,0,4,0,0,0,1
4,제조업,5,경산시 가일길24길 29,35.8389706,128.7851561,515,0,6,0,0,0,0,영남대,2923.196030414631,0,0,0,0,0,0,0,0
4,기타,0,경산시 삼성현로 1029,35.7949,128.8101096,198,0,4,0,0,0,0,영남대,6915.41100685952,0,0,0,0,0,0,0,0
7,도매업,7,경산시 하양로 479,35.92688740000001,128.8555985,177,0,4,0,0,0,1,영남대,13668.036327818472,0,0,0,0,0,0,0,0
